LAND;BEZ;LOR_ab_2021;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstige;USTRZUSTAND
11;2;2200208;2021;12;14;5;3;1;5;0;1;1;0;0;0;0;0
11;2;2200212;2021;12;7;5;3;5;2;1;1;1;0;0;0;0;1
11;2;2400521;2021;12;22;7;3;2;2;2;0;1;0;0;0;0;1
11;7;7200413;2021;12;13;3;3;2;6;0;1;1;0;0;0;0;2
11;8;8401243;2021;12;17;4;3;5;3;1;0;1;0;0;0;1;1
11;1;1100103;2021;12;14;7;3;2;6;0;1;1;0;0;0;0;1
11;11;11100308;2021;12;19;6;3;0;1;2;0;0;0;1;0;0;1
11;4;4501148;2021;12;15;7;3;5;2;1;0;1;0;0;0;0;1
11;1;1400939;2021;12;16;6;2;6;4;1;0;1;1;0;0;0;0
11;3;3601450;2021;11;17;2;2;2;1;1;0;1;0;0;0;0;1
11;10;10400940;2021;12;11;2;3;2;6;0;0;1;0;0;0;1;0
11;1;1100103;2021;12;17;3;3;1;5;2;1;1;0;0;0;0;0
11;9;9502043;2021;12;23;1;3;1;5;2;0;1;0;0;0;0;1
11;4;4501146;2021;12;16;7;3;5;2;1;0;1;0;0;0;0;0
11;6;6100205;2021;12;18;3;3;5;2;2;0;1;0;0;0;1;1
11;10;10100311;2021;12;9;5;2;4;1;0;0;1;0;0;1;0;2
11;11;11400931;2021;12;14;5;3;5;3;0;0;1;0;0;0;0;1
11;3;3601245;2021;12;8;2;3;6;2;0;0;1;1;0;0;0;0
11;9;9100304;2021;12;21;1;3;5;2;2;1;1;0;0;0;0;0
11;1;1401046;2021;11;7;3;3;6;2;0;0;1;1;0;0;0;1
11;2;2400521;2021;12;17;2;3;0;2;2;1;0;0;0;0;1;0
11;11;11400927;2021;12;16;5;3;5;3;1;1;1;0;0;0;0;0
11;1;1300732;2021;12;19;7;3;6;2;2;0;1;1;0;0;0;0
11;9;9100306;2021;12;18;3;3;2;6;2;0;1;0;0;0;0;1
11;1;1100416;2021;12;23;4;2;3;6;2;0;1;0;0;0;0;1
11;3;3200204;2021;12;18;4;3;5;2;2;0;1;0;0;0;0;0
11;12;12601235;2021;12;21;5;3;6;2;2;0;1;1;0;0;0;0
11;8;8100310;2021;12;10;6;3;6;4;0;0;1;1;0;0;0;0
11;2;2500727;2021;12;13;5;3;5;3;0;1;1;0;0;0;0;0
11;4;4501045;2021;12;16;5;3;6;4;2;0;1;1;0;0;0;2
11;1;1100206;2021;12;14;1;3;2;7;0;1;1;0;0;0;0;0
11;4;4501153;2021;12;20;4;2;6;2;2;0;1;1;0;0;0;1
11;10;10200629;2021;12;15;5;3;6;4;0;0;1;1;0;0;0;0
11;8;8401242;2021;12;10;3;3;6;2;0;0;1;1;0;0;0;0
11;1;1200522;2021;12;7;5;2;6;4;1;0;0;1;0;0;1;0
11;3;3601348;2021;12;19;5;3;1;5;2;1;1;0;0;0;0;1
11;1;1300836;2021;12;17;7;3;5;2;1;0;1;0;0;0;0;0
11;2;2500728;2021;12;21;3;3;5;2;2;0;1;0;1;0;0;0
11;6;6300527;2021;12;19;4;3;6;2;2;0;1;1;0;0;0;1
11;4;4400833;2021;12;16;6;3;5;3;2;0;1;0;0;0;0;1
11;10;10100208;2021;12;13;6;3;5;3;0;1;1;0;0;0;0;0
11;2;2300316;2021;11;14;2;3;2;6;0;0;1;0;0;0;0;0
11;9;9300920;2021;12;23;7;3;0;4;2;0;0;1;0;0;1;1
11;6;6200311;2021;12;17;4;3;2;6;2;0;1;0;0;0;0;0
11;4;4501149;2021;12;16;2;3;5;2;2;1;1;0;0;0;0;1
11;4;4500939;2021;12;7;3;3;5;7;2;0;1;0;1;0;0;1
11;2;2300314;2021;12;21;5;3;5;3;2;1;1;0;0;0;0;1
11;3;3400725;2021;12;12;5;2;2;1;0;0;1;0;0;0;0;1
11;4;4501041;2021;12;14;2;3;0;7;0;1;1;0;0;0;0;0
11;5;5200632;2021;12;17;2;3;3;6;2;0;1;0;0;0;1;2
11;7;7400823;2021;12;18;4;3;1;5;2;1;1;0;0;0;0;1
