LAND;BEZ;LOR_ab_2021;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstige;USTRZUSTAND;LOCKDOWN;COVID
11;2;2300314.0;2021;12;21;5;3;5;3;2;1;1;0;0;0;0;1;1;2
11;3;3400725.0;2021;12;12;5;2;2;1;0;0;1;0;0;0;0;1;1;2
11;4;4501041.0;2021;12;14;2;3;0;7;0;1;1;0;0;0;0;0;1;2
11;5;5200632.0;2021;12;17;2;3;3;6;2;0;1;0;0;0;1;2;1;2
11;7;7400823.0;2021;12;18;4;3;1;5;2;1;1;0;0;0;0;1;1;2
11;3;3601243.0;2021;12;19;2;3;0;1;2;1;0;0;0;0;0;0;1;2
11;8;8100417.0;2021;12;17;3;3;6;7;1;0;1;1;0;0;0;1;1;2
11;6;6300526.0;2021;12;15;6;3;5;2;1;1;1;0;0;0;0;1;1;2
11;1;1200628.0;2021;12;8;2;3;2;6;0;0;1;0;0;0;0;1;1;2
11;5;5300737.0;2021;12;5;4;3;5;2;2;0;1;0;0;0;1;1;1;2
11;1;1100102.0;2021;12;12;7;3;6;6;0;1;0;1;0;0;0;1;1;2
11;12;12200412.0;2021;12;23;4;3;6;2;2;0;1;1;0;0;0;0;1;2
11;11;11200514.0;2021;12;18;5;3;6;2;2;0;1;1;0;0;0;0;1;2
11;4;4300622.0;2021;12;13;5;2;0;1;0;0;0;0;1;0;0;1;1;2
11;4;4300619.0;2021;11;9;2;3;2;2;0;0;1;0;0;0;0;1;0;2
11;4;4400728.0;2021;12;16;4;3;0;7;2;0;1;0;0;0;1;0;1;2
11;1;1300835.0;2021;12;20;4;3;2;6;2;0;1;0;0;0;0;1;1;2
11;6;6100209.0;2021;12;18;2;3;6;4;2;0;1;1;0;0;0;1;1;2
11;4;4200310.0;2021;12;17;6;3;0;1;2;0;0;0;1;0;0;0;1;2
11;8;8100208.0;2021;11;8;3;3;5;3;0;0;1;0;0;0;0;1;0;2
11;9;9501737.0;2021;12;15;2;3;5;3;0;1;1;0;0;0;0;0;1;2
11;11;11300619.0;2021;12;18;2;3;2;2;1;0;1;0;0;0;1;1;1;2
11;7;7601339.0;2021;11;16;2;2;6;4;2;0;1;1;0;0;0;1;0;2
11;4;4400835.0;2021;12;11;3;3;5;2;0;1;1;0;0;0;0;0;1;2
11;4;4501045.0;2021;12;20;5;3;2;6;2;1;1;0;0;0;0;1;1;2
11;10;10400940.0;2021;12;0;7;3;3;6;2;0;1;0;0;0;0;1;1;2
11;8;8100415.0;2021;11;12;3;3;5;7;0;0;1;0;0;0;0;1;0;2
11;2;2400521.0;2021;12;8;2;3;0;1;0;1;0;0;0;0;0;2;1;2
11;2;2200208.0;2021;12;12;2;3;2;6;0;0;1;0;0;0;0;1;1;2
11;1;1300730.0;2021;12;17;3;3;6;2;2;0;1;1;0;0;0;1;1;2
11;6;6200419.0;2021;12;18;4;2;5;3;2;0;1;0;0;0;0;0;1;2
11;2;2100106.0;2021;12;0;5;3;5;2;2;0;1;0;0;0;0;0;1;2
11;8;8200726.0;2021;12;15;2;3;2;7;1;0;1;0;0;0;0;0;1;2
11;7;7501031.0;2021;12;14;7;3;2;2;0;0;1;0;0;0;0;0;1;2
11;11;11501341.0;2021;12;18;4;3;2;6;2;0;1;0;0;0;0;1;1;2
11;1;1100207.0;2021;12;15;3;3;5;2;0;1;1;0;0;0;0;0;1;2
11;11;11100309.0;2021;12;19;5;3;6;4;2;0;1;1;0;0;0;0;1;2
11;4;4300623.0;2021;12;12;6;3;0;1;0;0;0;0;1;0;0;2;1;2
11;6;6200315.0;2021;12;17;3;3;2;6;2;0;1;0;0;0;0;0;1;2
11;4;4501042.0;2021;12;16;7;3;3;6;1;0;1;0;0;0;0;1;1;2
11;11;11200411.0;2021;12;12;4;3;5;2;0;1;1;0;0;0;0;1;1;2
11;7;7501030.0;2021;12;18;3;3;3;6;0;0;1;0;0;1;0;0;1;2
11;3;3200308.0;2021;12;11;6;3;5;2;0;0;1;0;0;0;0;0;1;2
11;7;7601442.0;2021;12;18;1;3;5;2;2;0;1;0;0;0;0;1;1;2
11;7;7601341.0;2021;11;18;3;3;2;6;2;0;1;0;0;1;0;1;0;2
11;2;2200208.0;2021;12;14;3;3;6;2;0;0;1;1;0;0;0;0;1;2
11;9;9200614.0;2021;12;3;1;3;0;7;2;0;1;0;0;0;0;2;1;2
11;11;11100308.0;2021;12;14;5;2;6;4;0;0;0;1;0;0;1;0;1;2
11;7;7400823.0;2021;12;16;6;3;5;2;2;0;1;0;1;0;0;0;1;2
11;4;4400833.0;2021;12;11;6;3;2;2;0;0;1;0;0;0;0;1;1;2
11;9;9401432.0;2021;12;9;6;3;3;6;0;1;1;0;0;0;0;1;1;2
11;12;12100205.0;2021;12;10;4;3;5;2;0;0;1;0;0;0;0;1;1;2
11;8;8200726.0;2021;12;17;7;3;6;4;1;1;0;1;0;0;0;1;1;2
11;2;2100102.0;2021;12;23;3;3;5;3;2;0;1;0;0;0;0;1;1;2
11;3;3601141.0;2021;12;12;5;3;3;6;0;1;0;0;0;0;0;1;1;2
11;4;4200308.0;2021;12;15;2;3;5;2;2;0;1;0;0;0;0;0;1;2
11;10;10200629.0;2021;12;0;3;3;5;2;2;0;1;0;0;0;0;0;1;2
